Time,Heart Rate
22:50:45,70
22:51:00,70
22:51:05,70
22:51:15,69
22:51:20,70
22:51:35,71
22:51:50,71
22:51:55,69
22:52:00,68
22:52:15,68
22:52:20,66
22:52:25,64
22:52:30,63
22:52:40,65
22:52:45,66
22:52:50,66
22:53:00,67
22:53:15,68
22:53:30,68
22:53:35,69
22:53:40,67
22:53:55,68
22:54:00,69
22:54:05,70
22:54:10,69
22:54:25,69
22:54:30,68
22:54:35,67
22:54:50,68
22:55:00,69
22:55:15,70
22:55:20,73
22:55:25,69
22:55:30,67
22:55:35,65
22:55:40,66
22:55:45,67
22:55:50,65
22:55:55,64
22:56:01,66
22:56:11,67
22:56:16,68
22:56:21,69
22:56:31,68
22:56:41,69
22:56:51,66
22:56:56,64
22:57:01,61
22:57:06,60
22:57:16,61
22:57:26,60
22:57:41,62
22:57:46,63
22:58:01,64
22:58:06,66
22:58:21,66
22:58:26,66
22:58:36,67
22:58:41,66
22:58:51,65
22:58:56,66
22:59:01,65
22:59:16,65
22:59:21,64
22:59:36,65
22:59:46,65
22:59:51,66
23:00:06,68
23:00:21,66
23:00:36,67
23:00:46,67
23:01:01,67
23:01:06,67
23:01:11,67
23:01:26,67
23:01:36,68
23:01:41,69
23:01:46,66
23:01:51,63
23:02:06,61
23:02:16,60
23:02:26,60
23:02:41,60
23:02:56,60
23:03:01,61
23:03:16,61
23:03:21,62
23:03:26,65
23:03:36,64
23:03:41,63
23:03:46,62
23:04:01,63
23:04:06,64
23:04:11,64
23:04:16,63
23:04:21,61
23:04:26,61
23:04:31,62
23:04:41,63
23:04:46,64
23:04:51,65
23:04:56,62
23:05:01,58
23:05:11,60
23:05:21,62
23:05:36,62
23:05:46,67
23:05:51,68
23:05:56,69
23:06:11,69
23:06:21,68
23:06:26,67
23:06:36,68
23:06:41,69
23:06:46,70
23:06:51,66
23:07:06,65
23:07:16,64
23:07:21,63
23:07:26,64
23:07:31,64
23:07:36,64
23:07:46,63
23:07:56,64
23:08:06,64
23:08:16,63
23:08:21,62
23:08:26,61
23:08:31,63
23:08:36,64
23:08:41,65
23:08:46,64
23:08:51,66
23:08:56,67
23:09:11,66
23:09:16,64
23:09:21,63
23:09:26,61
23:09:31,61
23:09:46,61
23:09:56,62
23:10:06,63
23:10:21,64
23:10:26,66
23:10:31,72
23:10:36,71
23:10:41,70
23:10:46,69
23:10:51,67
23:10:56,63
23:11:01,61
23:11:16,61
23:11:26,62
23:11:41,62
23:11:51,61
23:12:01,60
23:12:16,60
23:12:21,61
23:12:36,61
23:12:46,62
23:12:51,63
23:13:01,66
23:13:06,67
23:13:11,66
23:13:16,66
23:13:31,66
23:13:46,66
23:13:51,65
23:13:56,64
23:14:11,64
23:14:16,63
23:14:21,63
23:14:31,64
23:14:41,63
23:14:46,61
23:14:56,62
23:15:06,65
23:15:11,67
23:15:21,64
23:15:26,63
23:15:31,64
23:15:36,64
23:15:51,64
23:15:56,64
23:16:06,65
23:16:11,63
23:16:16,64
23:16:21,65
23:16:26,63
23:16:31,62
23:16:36,63
23:16:41,67
23:16:46,67
23:17:01,67
23:17:11,68
23:17:16,69
23:17:21,71
23:17:26,70
23:17:31,69
23:17:41,68
23:17:56,67
23:18:01,67
23:18:11,66
23:18:16,65
23:18:21,64
23:18:26,65
23:18:31,65
23:18:41,61
23:18:46,61
23:18:51,62
23:19:06,63
23:19:11,64
23:19:16,64
23:19:21,61
23:19:26,61
23:19:36,63
23:19:41,66
23:19:46,64
23:19:51,64
23:19:56,63
23:20:01,62
23:20:06,63
23:20:11,64
23:20:16,65
23:20:21,66
23:20:26,66
23:20:41,67
23:20:46,69
23:20:51,70
23:20:56,71
23:21:06,70
23:21:11,66
23:21:16,65
23:21:21,64
23:21:26,63
23:21:31,60
23:21:46,62
23:21:51,64
23:22:06,64
23:22:11,65
23:22:16,66
23:22:21,65
23:22:26,65
23:22:31,66
23:22:36,65
23:22:41,64
23:22:51,65
23:23:01,66
23:23:06,68
23:23:11,69
23:23:21,69
23:23:31,67
23:23:36,60
23:23:41,60
23:23:51,62
23:23:56,62
23:24:01,63
23:24:11,63
23:24:21,64
23:24:31,65
23:24:36,65
23:24:41,66
23:24:46,68
23:24:51,70
23:24:56,71
23:25:01,72
23:25:06,71
23:25:11,69
23:25:26,68
23:25:41,69
23:25:56,70
23:26:01,71
23:26:11,72
23:26:16,71
23:26:21,70
23:26:26,67
23:26:31,71
23:26:36,74
23:26:41,75
23:26:51,76
23:27:06,76
23:27:11,77
23:27:16,76
23:27:21,75
23:27:26,74
23:27:31,73
23:27:36,72
23:27:51,72
23:27:56,71
23:28:06,70
23:28:11,66
23:28:16,66
23:28:21,67
23:28:31,65
23:28:36,64
23:28:41,63
23:28:46,64
23:28:51,61
23:28:56,60
23:29:01,59
23:29:16,59
23:29:21,60
23:29:26,62
23:29:31,61
23:29:36,60
23:29:46,61
23:29:51,60
23:30:01,60
23:30:06,60
23:30:11,62
23:30:16,63
23:30:26,61
23:30:36,60
23:30:46,61
23:30:51,62
23:30:56,63
23:31:01,62
23:31:06,61
23:31:11,60
23:31:21,59
23:31:31,60
23:31:36,61
23:31:41,62
23:31:46,63
23:31:51,62
23:31:56,61
23:32:01,60
23:32:06,59
23:32:11,58
23:32:26,59
23:32:41,59
23:32:46,60
23:33:01,62
23:33:06,61
23:33:11,60
23:33:16,59
23:33:21,59
23:33:36,59
23:33:41,58
23:33:56,58
23:34:01,59
23:34:11,62
23:34:26,62
23:34:36,63
23:34:41,62
23:34:46,61
23:34:53,61
23:34:58,60
23:35:08,63
23:35:18,61
23:35:28,60
23:35:33,59
23:35:38,60
23:35:43,59
23:35:53,58
23:36:03,57
23:36:18,57
23:36:28,58
23:36:43,58
23:36:58,57
23:37:13,57
23:37:23,56
23:37:38,56
23:37:53,56
23:38:03,60
23:38:08,59
23:38:18,58
23:38:23,56
23:38:28,55
23:38:38,56
23:38:43,58
23:38:48,60
23:38:53,62
23:38:58,62
23:39:03,60
23:39:08,57
23:39:13,56
23:39:18,56
23:39:28,55
23:39:34,55
23:39:39,55
23:39:44,55
23:39:49,55
23:40:04,57
23:40:09,57
23:40:14,56
23:40:19,55
23:40:29,54
23:40:34,53
23:40:39,52
23:40:44,53
23:40:49,53
23:41:04,53
23:41:09,55
23:41:14,56
23:41:19,54
23:41:24,53
23:41:34,54
23:41:49,53
23:41:54,54
23:41:59,55
23:42:04,54
23:42:14,53
23:42:19,52
23:42:24,53
23:42:29,55
23:42:34,55
23:42:39,54
23:42:49,53
23:43:04,53
23:43:19,54
23:43:29,53
23:43:34,52
23:43:49,54
23:43:54,53
23:44:09,53
23:44:24,53
23:44:29,55
23:44:34,53
23:44:39,52
23:44:44,53
23:44:49,54
23:44:54,53
23:44:59,52
23:45:09,54
23:45:14,53
23:45:29,53
23:45:39,52
23:45:44,51
23:45:54,53
23:46:09,53
23:46:19,54
23:46:24,53
23:46:29,52
23:46:34,53
23:46:39,54
23:46:44,53
23:46:54,52
23:46:59,53
23:47:04,56
23:47:14,53
23:47:19,52
23:47:24,53
23:47:39,53
23:47:54,53
23:48:09,54
23:48:19,53
23:48:34,53
23:48:49,53
23:49:04,54
23:49:14,53
23:49:19,55
23:49:24,57
23:49:29,55
23:49:34,53
23:49:39,52
23:49:49,53
23:50:00,53
23:50:05,52
23:50:10,53
23:50:15,52
23:50:30,53
23:50:45,53
23:51:00,54
23:51:05,53
23:51:10,52
23:51:20,53
23:51:25,55
23:51:30,54
23:51:35,53
23:51:45,54
23:51:55,53
23:52:00,52
23:52:15,55
23:52:20,54
23:52:25,53
23:52:40,54
